medal_id;medal_type;medal_code;medal_date;name;gender;discipline;event;event_type;url_event;code;country_code;country;country_long
388;Silver Medal;2.0;2024-08-03;Valentin MADOUAS;M;Cycling Road;Men's Road Race;ATH;/en/paris-2024/results/cycling-road/men-s-road-race/fnl-000100--;1895699;FRA;France;France
389;Bronze Medal;3.0;2024-08-03;Christophe LAPORTE;M;Cycling Road;Men's Road Race;ATH;/en/paris-2024/results/cycling-road/men-s-road-race/fnl-000100--;1895694;FRA;France;France
390;Gold Medal;1.0;2024-08-03;Germany;O;Equestrian;Dressage Team;TEAM;/en/paris-2024/results/equestrian/dressage-team/gpsp000100--;EQUODRESTEAMGER01;GER;Germany;Germany
391;Silver Medal;2.0;2024-08-03;Denmark;O;Equestrian;Dressage Team;TEAM;/en/paris-2024/results/equestrian/dressage-team/gpsp000100--;EQUODRESTEAMDEN01;DEN;Denmark;Denmark
392;Bronze Medal;3.0;2024-08-03;Great Britain;O;Equestrian;Dressage Team;TEAM;/en/paris-2024/results/equestrian/dressage-team/gpsp000100--;EQUODRESTEAMGBR01;GBR;Great Britain;Great Britain
393;Gold Medal;1.0;2024-08-03;Ukraine;W;Fencing;Women's Sabre Team;HTEAM;/en/paris-2024/results/fencing/women-s-sabre-team/fnl-000100--;FENWTEAMSABRUKR01;UKR;Ukraine;Ukraine
394;Silver Medal;2.0;2024-08-03;Korea;W;Fencing;Women's Sabre Team;HTEAM;/en/paris-2024/results/fencing/women-s-sabre-team/fnl-000100--;FENWTEAMSABRKOR01;KOR;Korea;Republic of Korea
395;Bronze Medal;3.0;2024-08-03;Japan;W;Fencing;Women's Sabre Team;HTEAM;/en/paris-2024/results/fencing/women-s-sabre-team/fnl-000200--;FENWTEAMSABRJPN01;JPN;Japan;Japan
396;Gold Medal;1.0;2024-08-03;France;X;Judo;Mixed Team;HTEAM;/en/paris-2024/results/judo/mixed-team/fnl-00010000;JUDXTEAM6---FRA01;FRA;France;France
397;Silver Medal;2.0;2024-08-03;Japan;X;Judo;Mixed Team;HTEAM;/en/paris-2024/results/judo/mixed-team/fnl-00010000;JUDXTEAM6---JPN01;JPN;Japan;Japan
398;Bronze Medal;3.0;2024-08-03;Brazil;X;Judo;Mixed Team;HTEAM;/en/paris-2024/results/judo/mixed-team/repf00010000;JUDXTEAM6---BRA01;BRA;Brazil;Brazil
399;Bronze Medal;3.0;2024-08-03;Korea;X;Judo;Mixed Team;HTEAM;/en/paris-2024/results/judo/mixed-team/repf00020000;JUDXTEAM6---KOR01;KOR;Korea;Republic of Korea
400;Gold Medal;1.0;2024-08-03;Great Britain;M;Rowing;Men's Eight;TEAM;/en/paris-2024/results/rowing/men-s-eight/fnl---------;ROWMCOXED8--GBR01;GBR;Great Britain;Great Britain
401;Silver Medal;2.0;2024-08-03;Netherlands;M;Rowing;Men's Eight;TEAM;/en/paris-2024/results/rowing/men-s-eight/fnl---------;ROWMCOXED8--NED01;NED;Netherlands;Netherlands
402;Bronze Medal;3.0;2024-08-03;United States;M;Rowing;Men's Eight;TEAM;/en/paris-2024/results/rowing/men-s-eight/fnl---------;ROWMCOXED8--USA01;USA;United States;United States of America
